date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-24,RS,Fontoura Xavier,city,11,0,True,10304,4308300,106.75466,0.0
2020-06-24,RS,Formigueiro,city,79,0,True,6664,4308409,1185.47419,0.0
2020-06-24,RS,Forquetinha,city,1,0,True,2412,4308433,41.45937,0.0
2020-06-24,RS,Frederico Westphalen,city,81,2,True,31313,4308508,258.6785,0.0247
2020-06-24,RS,Garibaldi,city,544,5,True,35070,4308607,1551.18335,0.0092
2020-06-24,RS,Gaurama,city,27,0,True,5534,4308706,487.89302,0.0
2020-06-24,RS,General Câmara,city,27,1,True,8385,4308805,322.00358,0.037
2020-06-24,RS,Gentil,city,11,0,True,1634,4308854,673.19461,0.0
2020-06-24,RS,Getúlio Vargas,city,23,1,True,16212,4308904,141.87022,0.0435
2020-06-24,RS,Giruá,city,10,2,True,16004,4309001,62.48438,0.2
2020-06-24,RS,Glorinha,city,5,0,True,8098,4309050,61.74364,0.0
2020-06-24,RS,Gramado,city,15,0,True,36232,4309100,41.39987,0.0
2020-06-24,RS,Gramado dos Loureiros,city,27,0,True,2082,4309126,1296.82997,0.0
2020-06-24,RS,Gramado Xavier,city,1,0,True,4325,4309159,23.12139,0.0
